iter	Logloss
0	0.5559538201
1	0.4751783773
2	0.4275723628
3	0.397937501
4	0.3802984993
5	0.368883951
6	0.362293561
7	0.3579861322
8	0.3550905352
9	0.3530887071
10	0.3498254582
11	0.3479115478
12	0.346673292
13	0.3459302686
14	0.3453177786
15	0.3450004024
16	0.344722884
17	0.3445244801
18	0.3443770919
19	0.3442455424
20	0.3433391736
21	0.3432596629
22	0.3431939269
23	0.3430994815
24	0.3430295958
25	0.3429733821
26	0.3418354496
27	0.3417251078
28	0.3416867338
29	0.341638748
30	0.3415913692
31	0.3415534654
32	0.3415283881
33	0.3411607754
34	0.3407000755
35	0.3405219095
36	0.3403968454
37	0.3403581673
38	0.3403356276
39	0.3402580971
40	0.3402310942
41	0.3400152847
42	0.3396662428
43	0.33945859
44	0.3394053422
45	0.3393220269
46	0.3391802685
47	0.3391585575
48	0.3391394889
49	0.3391041942
50	0.3390282286
51	0.3389800054
52	0.3389091075
53	0.3388206732
54	0.33879951
55	0.3387052887
56	0.3386493102
57	0.3386188173
58	0.3386027456
59	0.3385703283
60	0.3385410966
61	0.3385068122
62	0.3383988985
63	0.338125901
64	0.3380421395
65	0.3379782726
66	0.3379541413
67	0.337935106
68	0.3379000364
69	0.3377985043
70	0.337586924
71	0.3375556037
72	0.3375001547
73	0.3374566329
74	0.3374073937
75	0.337354919
76	0.3372973045
77	0.3372572534
78	0.3371997845
79	0.337170209
80	0.3371279182
81	0.3370614746
82	0.3369950197
83	0.3369436475
84	0.3369362772
85	0.3367828085
86	0.3367350325
87	0.3366907056
88	0.3366686151
89	0.3366363216
90	0.3365553273
91	0.3365199303
92	0.3364944337
93	0.3364653899
94	0.3363552614
95	0.3363188706
96	0.3363037115
97	0.3362559307
98	0.3362210817
99	0.3361350031
