iter	Passed	Remaining
0	1222	121033
1	2595	127198
2	3522	113890
3	4589	110137
4	5725	108790
5	6736	105533
6	7735	102765
7	8737	100478
8	9689	97975
9	10604	95443
10	11810	95554
11	12810	93946
12	13686	91597
13	14779	90788
14	15981	90560
15	16987	89185
16	18002	87895
17	19258	87735
18	19963	85107
19	20957	83831
20	21950	82574
21	22718	80549
22	23367	78230
23	24327	77037
24	25267	75802
25	26063	74181
26	27090	73243
27	27826	71552
28	28712	70296
29	29454	68726
30	30278	67393
31	31208	66318
32	32071	65115
33	33033	64123
34	34269	63642
35	35360	62863
36	36125	61510
37	36994	60358
38	37794	59114
39	38811	58217
40	39490	56827
41	40328	55691
42	41315	54766
43	42206	53717
44	42970	52519
45	43583	51163
46	44344	50005
47	45023	48775
48	45633	47496
49	46307	46307
50	47195	45344
51	48090	44391
52	48970	43426
53	49825	42444
54	50494	41313
55	51336	40335
56	52263	39426
57	52919	38320
58	53878	37440
59	54592	36394
60	55576	35532
61	56541	34654
62	57413	33719
63	58188	32730
64	59015	31777
65	59753	30782
66	60380	29739
67	61282	28838
68	61970	27841
69	62877	26947
70	63615	25983
71	64409	25048
72	65237	24129
73	66260	23280
74	67009	22336
75	67722	21386
76	68555	20477
77	69282	19541
78	70035	18617
79	70784	17696
80	71617	16799
81	72523	15919
82	73446	15043
83	74676	14224
84	75647	13349
85	76792	12501
86	77659	11604
87	78973	10769
88	79888	9873
89	80967	8996
90	82098	8119
91	83147	7230
92	84111	6330
93	85064	5429
94	86666	4561
95	87683	3653
96	88371	2733
97	89121	1818
98	90195	911
99	91790	0
